direction,symbol,kk,sl,tp,distance_tp_atr,adx_day,adx_week,up_volume,down_volume
LONG,amd,202.85,193.68,221.19,2.4,36,57,81276280,69433980
LONG,anf,120.74,114.83,132.57,3.0,35,84,3052860,2501680
SHORT,apd,243.93,248.13,235.52,2.5,26,35,1825940,2651400
LONG,arqt,10.35,9.39,12.28,1.9,55,48,6048380,2827600
SHORT,bg,93.22,95.06,89.55,1.9,19,44,1644540,1647260
SHORT,biib,225.35,230.07,215.92,1.9,31,32,1235760,1274680
SHORT,cag,28.31,28.69,27.55,2.0,15,21,3084460,4446960
SHORT,cck,77.54,78.94,74.75,2.1,34,34,1037220,1613780
LONG,ceg,169.06,162.0,183.17,2.1,57,46,3347580,2198820
LONG,cflt,32.02,30.72,34.63,2.1,28,28,6003780,5301520
SHORT,chtr,291.74,300.02,275.18,2.3,35,48,1562980,1638740
LONG,dwac,40.55,36.65,48.34,2.2,32,70,2240500,1404620
LONG,hd,375.9,371.89,383.93,2.1,26,39,2967520,2540840
LONG,hmc,35.27,34.76,36.3,2.4,32,33,1442260,840160
LONG,hrb,47.98,46.71,50.52,3.5,19,24,1493640,905560
SHORT,kvue,20.12,20.52,19.33,3.4,31,41,15230860,17447200
LONG,lrcx,950.88,925.68,1001.28,2.0,30,51,1170140,1047940
LONG,mod,85.35,81.23,93.59,2.3,32,60,1308140,1056800
SHORT,nee,56.55,57.75,54.16,2.0,17,21,10670260,14545600
SHORT,nem,33.67,34.75,31.51,2.3,23,34,14979160,17060480
LONG,owl,17.54,17.29,18.04,2.4,43,53,6098220,3508020
SHORT,pfe,27.76,28.41,26.46,3.0,13,51,55523600,58458160
LONG,rxrx,10.68,9.61,12.82,2.5,21,37,11863300,5580080
SHORT,sbac,217.76,223.07,207.14,2.0,27,28,1207560,1742460
LONG,spot,259.74,253.45,272.32,1.8,46,64,1945860,1937360
SHORT,twlo,61.75,63.73,57.79,2.6,19,22,3216800,5324320
LONG,verx,30.1,27.97,34.37,2.2,23,30,1616100,709460
LONG,vktx,68.24,57.9,88.92,2.5,55,63,13860320,8954580
SHORT,vyx,12.46,13.14,11.09,1.9,31,27,3559240,5831700
LONG,wsc,46.41,45.46,48.3,1.8,25,27,1792580,1290760
SHORT,xel,51.64,54.05,46.82,1.8,35,26,9391580,15791180
LONG,ypf,17.7,17.02,19.07,1.8,15,24,2838200,2226180
